t,Icx,Icy,Icz,Imx,Imy,Imz,Bcx,Bcy,Bcz,Bmx,Bmy,Bmz,polx,poly,polz,ERROR
0.068920,0.076436,0.052554,0.720520,0.006446,0.006446,0.800556,0.000000,0.000000,0.000000,4.939414,3.872884,-74.255394,-1.000000,-1.000000,1.000000,0.000000
0.129618,0.194193,0.178801,0.876835,0.179827,0.068995,0.878240,19.470000,16.177000,10.391000,9.335259,5.674532,-41.871000,1.000000,1.000000,1.000000,0.000000
0.160881,0.194193,0.178801,0.876835,0.191931,0.201587,0.862963,19.470000,16.177000,10.391000,12.318637,8.960606,-28.078749,1.000000,1.000000,1.000000,0.000000
0.208185,0.194374,0.182819,0.872116,0.200722,0.193229,0.874348,19.483000,16.457000,10.077000,15.373972,11.943983,-14.271970,1.000000,1.000000,1.000000,0.000000
0.239448,0.194374,0.182819,0.872116,0.200289,0.190779,0.878382,19.483000,16.457000,10.077000,16.714144,13.673335,-7.800835,1.000000,1.000000,1.000000,0.000000
0.278384,0.194304,0.187024,0.867382,0.199857,0.195536,0.873916,19.478000,16.750000,9.762000,17.694189,14.956076,-2.093533,1.000000,1.000000,1.000000,0.000000
0.309651,0.194304,0.187024,0.867382,0.201877,0.194094,0.875355,19.478000,16.750000,9.762000,18.414781,15.604372,1.048287,1.000000,1.000000,1.000000,0.000000
0.360705,0.193956,0.191401,0.862632,0.199715,0.200002,0.868581,19.453000,17.055000,9.446000,19.265099,16.656713,4.679960,1.000000,1.000000,1.000000,0.000000
0.391959,0.193956,0.191401,0.862632,0.202451,0.201012,0.870024,19.453000,17.055000,9.446000,19.481311,17.132378,5.977228,1.000000,1.000000,1.000000,0.000000
0.445054,0.193358,0.195951,0.857897,0.200002,0.205337,0.863683,19.410000,17.372000,9.131000,19.784006,17.680000,7.620096,1.000000,1.000000,1.000000,0.000000
0.476323,0.193358,0.195951,0.857897,0.199715,0.204326,0.864402,19.410000,17.372000,9.131000,20.072175,18.025938,8.052518,1.000000,1.000000,1.000000,0.000000
0.525608,0.192467,0.200659,0.853177,0.199857,0.209370,0.860224,19.346000,17.700000,8.817000,20.245144,18.400592,8.888310,1.000000,1.000000,1.000000,0.000000
0.556859,0.192467,0.200659,0.853177,0.198272,0.207208,0.861234,19.346000,17.700000,8.817000,20.086702,18.414781,9.075806,1.000000,1.000000,1.000000,0.000000
0.608024,0.191326,0.205511,0.848471,0.199570,0.213840,0.854028,19.264000,18.038000,8.504000,20.288387,18.660046,9.292017,1.000000,1.000000,1.000000,0.000000
0.639295,0.191326,0.205511,0.848471,0.198850,0.213840,0.855612,19.264000,18.038000,8.504000,20.245144,18.803961,9.248775,1.000000,1.000000,1.000000,0.000000
0.690504,0.189906,0.210507,0.843825,0.197840,0.220323,0.849271,19.162000,18.386000,8.195000,20.274198,19.178615,9.393028,1.000000,1.000000,1.000000,0.000000
0.721757,0.189906,0.210507,0.843825,0.195678,0.217154,0.851866,19.162000,18.386000,8.195000,20.230956,19.322868,9.277490,1.000000,1.000000,1.000000,0.000000
0.772811,0.188209,0.215633,0.839223,0.194958,0.224069,0.845092,19.040000,18.743000,7.889000,20.158660,19.524553,9.090332,1.000000,1.000000,1.000000,0.000000
