t,Icx,Icy,Icz,Imx,Imy,Imz,Bcx,Bcy,Bcz,Bmx,Bmy,Bmz,polx,poly,polz,ERROR
0.639295,0.192467,0.200659,0.853177,0.198850,0.213840,0.855612,19.346000,17.700000,8.817000,19.464522,17.241571,8.351205,1.000000,1.000000,1.000000,0.000000
0.690504,0.191326,0.205511,0.848471,0.197840,0.220323,0.849271,19.264000,18.038000,8.504000,19.495397,17.611723,8.500164,1.000000,1.000000,1.000000,0.000000
0.721757,0.191326,0.205511,0.848471,0.195678,0.217154,0.851866,19.264000,18.038000,8.504000,19.452155,17.755976,8.384626,1.000000,1.000000,1.000000,0.000000
0.772811,0.189906,0.210507,0.843825,0.194958,0.224069,0.845092,19.162000,18.386000,8.195000,19.382123,17.953026,8.202114,1.000000,1.000000,1.000000,0.000000
0.804065,0.189906,0.210507,0.843825,0.195104,0.221765,0.847254,19.162000,18.386000,8.195000,19.468607,18.183764,8.057861,1.000000,1.000000,1.000000,0.000000
0.855349,0.188209,0.215633,0.839223,0.193948,0.230846,0.838461,19.040000,18.743000,7.889000,19.226390,18.265492,8.062462,1.000000,1.000000,1.000000,0.000000
0.886621,0.188209,0.215633,0.839223,0.193374,0.230123,0.841920,19.040000,18.743000,7.889000,19.125378,18.524946,7.904020,1.000000,1.000000,1.000000,0.000000
0.937852,0.186232,0.220874,0.834682,0.191067,0.234160,0.836731,18.898000,19.108000,7.587000,19.171774,18.678527,7.793360,1.000000,1.000000,1.000000,0.000000
0.969120,0.186232,0.220874,0.834682,0.192796,0.234880,0.837021,18.898000,19.108000,7.587000,19.244069,18.866023,7.692349,1.000000,1.000000,1.000000,0.000000
1.020188,0.183992,0.226216,0.830200,0.189627,0.240934,0.832265,18.737000,19.480000,7.289000,19.175349,19.004982,7.509335,1.000000,1.000000,1.000000,0.000000
1.051459,0.183992,0.226216,0.830200,0.190347,0.239349,0.833994,18.737000,19.480000,7.289000,19.117918,19.192478,7.249881,1.000000,1.000000,1.000000,0.000000
1.102715,0.181473,0.231659,0.825823,0.185158,0.245832,0.828228,18.556000,19.859000,6.998000,18.833767,19.475599,7.182298,1.000000,1.000000,1.000000,0.000000
1.133977,0.181473,0.231659,0.825823,0.186742,0.243670,0.829957,18.556000,19.859000,6.998000,18.833767,19.663095,7.139056,1.000000,1.000000,1.000000,0.000000
1.185034,0.178689,0.237174,0.821522,0.183573,0.252751,0.823184,18.356000,20.243000,6.712000,18.737196,19.888380,6.956198,1.000000,1.000000,1.000000,0.000000
1.216296,0.178689,0.237174,0.821522,0.183573,0.250011,0.823471,18.356000,20.243000,6.712000,18.665238,19.888380,6.682218,1.000000,1.000000,1.000000,0.000000
1.267620,0.175641,0.242761,0.817325,0.179104,0.257508,0.820157,18.137000,20.632000,6.433000,18.424837,20.214610,6.643171,1.000000,1.000000,1.000000,0.000000
1.298877,0.175641,0.242761,0.817325,0.179249,0.255778,0.820447,18.137000,20.632000,6.433000,18.410648,20.257853,6.542159,1.000000,1.000000,1.000000,0.000000
1.350208,0.172329,0.248406,0.813248,0.176942,0.262839,0.815546,17.899000,21.025000,6.162000,18.358163,20.598556,6.459750,1.000000,1.000000,1.000000,0.000000
1.381472,0.172329,0.248406,0.813248,0.174925,0.260102,0.815400,17.899000,21.025000,6.162000,18.141952,20.771525,6.171581,1.000000,1.000000,1.000000,0.000000
1.432452,0.168752,0.254108,0.809262,0.171756,0.270477,0.811799,17.642000,21.422000,5.897000,17.945974,20.924679,6.233334,1.000000,1.000000,1.000000,0.000000
1.463717,0.168752,0.254108,0.809262,0.171756,0.268605,0.812377,17.642000,21.422000,5.897000,17.859490,21.169944,6.017123,1.000000,1.000000,1.000000,0.000000
1.514872,0.164911,0.259826,0.805410,0.167141,0.275953,0.807475,17.366000,21.820000,5.641000,17.692649,21.568011,5.804761,1.000000,1.000000,1.000000,0.000000
1.546138,0.164911,0.259826,0.805410,0.166135,0.272639,0.806610,17.366000,21.820000,5.641000,17.822375,21.712264,5.617266,1.000000,1.000000,1.000000,0.000000
1.597439,0.160833,0.265558,0.801694,0.163540,0.280135,0.802718,17.073000,22.219000,5.394000,17.439700,21.778907,5.606790,1.000000,1.000000,1.000000,0.000000
