t,Icx,Icy,Icz,Bmx,Bmy,Bmz,Bcx,Bcy,Bcz
0.061407,0.074008,0.045280,0.722559,5.674532,4.074907,-79.674189,0.000000,0.000000,0.000000
0.129745,0.196397,0.185603,0.879081,9.854166,6.337355,-40.761566,19.470000,16.177000,10.391000
0.160999,0.196397,0.185603,0.879081,12.664575,9.133575,-26.911208,19.470000,16.177000,10.391000
0.209239,0.196578,0.189610,0.874357,15.561468,12.462552,-13.205441,19.483000,16.457000,10.077000
0.240518,0.196578,0.189610,0.874357,16.916167,13.759820,-7.138012,19.483000,16.457000,10.077000
0.288636,0.196508,0.193804,0.869618,18.429308,15.474983,-0.594581,19.478000,16.750000,9.762000
0.319896,0.196508,0.193804,0.869618,19.020172,16.209764,2.359743,19.478000,16.750000,9.762000
0.360583,0.196161,0.198170,0.864864,19.452595,16.771913,4.997183,19.453000,17.055000,9.446000
0.391849,0.196161,0.198170,0.864864,19.841775,17.247578,6.164724,19.453000,17.055000,9.446000
0.442908,0.195563,0.202707,0.860124,20.201902,17.766485,7.692391,19.410000,17.372000,9.131000
0.474169,0.195563,0.202707,0.860124,20.317440,18.169854,8.355214,19.410000,17.372000,9.131000
0.535937,0.194674,0.207403,0.855398,20.418113,18.587750,9.032563,19.346000,17.700000,8.817000
0.567206,0.194674,0.207403,0.855398,20.533651,18.760719,9.263301,19.346000,17.700000,8.817000
0.618762,0.193534,0.212242,0.850687,20.461356,18.976930,9.378501,19.264000,18.038000,8.504000
0.650018,0.193534,0.212242,0.850687,20.461356,19.092130,9.248775,19.264000,18.038000,8.504000
0.702353,0.192116,0.217225,0.846036,20.591082,19.481311,9.363975,19.162000,18.386000,8.195000
0.733608,0.192116,0.217225,0.846036,20.591082,19.553606,9.335259,19.162000,18.386000,8.195000
0.785949,0.190420,0.222336,0.841429,20.504598,19.798533,9.220059,19.040000,18.743000,7.889000
0.817217,0.190420,0.222336,0.841429,20.432640,19.798533,9.133575,19.040000,18.743000,7.889000
0.869467,0.188447,0.227563,0.836882,20.418113,20.101229,8.989321,18.898000,19.108000,7.587000
0.900725,0.188447,0.227563,0.836882,20.403925,20.144471,8.729868,18.898000,19.108000,7.587000
0.953082,0.186209,0.232890,0.832395,20.173187,20.547840,8.802163,18.737000,19.480000,7.289000
0.984347,0.186209,0.232890,0.832395,20.014744,20.576894,8.441699,18.737000,19.480000,7.289000
1.036596,0.183693,0.238318,0.828013,20.028933,20.807294,8.311972,18.556000,19.859000,6.998000
1.067853,0.183693,0.238318,0.828013,19.985691,20.994789,8.210961,18.556000,19.859000,6.998000
1.120050,0.180913,0.243817,0.823706,19.928260,21.239716,8.110287,18.356000,20.243000,6.712000
1.151304,0.180913,0.243817,0.823706,19.668806,21.282958,8.081234,18.356000,20.243000,6.712000
