t,Icx,Icy,Icz,Bmx,Bmy,Bmz,Bcx,Bcy,Bcz
0.066849,0.073493,0.042616,0.723973,5.184679,3.498231,-74.716532,-5.112383,-3.022566,48.630305
0.128120,0.198365,0.192405,0.875250,9.292017,5.069141,-42.173696,14.437617,13.395434,58.677305
0.159383,0.198365,0.192405,0.875250,12.217626,8.484941,-28.006791,14.437617,13.395434,58.677305
0.212348,0.197948,0.201031,0.865716,15.618899,12.491606,-12.974703,14.407617,13.996434,58.043305
0.243602,0.197948,0.201031,0.865716,16.944882,14.062516,-6.979232,14.407617,13.996434,58.043305
0.296630,0.196459,0.210334,0.856179,18.400592,15.964837,-0.176685,14.300617,14.644434,57.409305
0.327903,0.196459,0.210334,0.856179,18.948215,16.656713,2.287785,14.300617,14.644434,57.409305
0.380899,0.193886,0.220226,0.846776,19.495837,18.025938,4.997183,14.115617,15.333434,56.784305
0.412166,0.193886,0.220226,0.846776,19.827249,18.587750,6.092428,14.115617,15.333434,56.784305
0.451081,0.190228,0.230637,0.837581,19.885018,18.962741,7.043758,13.852617,16.058434,56.173305
0.482343,0.190228,0.230637,0.837581,20.144471,19.481311,7.375169,13.852617,16.058434,56.173305
0.524785,0.185470,0.241479,0.828671,20.028933,19.913733,7.634622,13.510617,16.813434,55.581305
0.556041,0.185470,0.241479,0.828671,20.043460,20.403925,7.721107,13.510617,16.813434,55.581305
0.607146,0.179627,0.252623,0.820121,19.755291,20.850536,7.865360,13.090617,17.589434,55.013305
0.638413,0.179627,0.252623,0.820121,19.668806,21.239716,7.793065,13.090617,17.589434,55.013305
0.689542,0.172739,0.264013,0.812006,19.567795,21.715381,7.360642,12.595617,18.382434,54.474305
0.720801,0.172739,0.264013,0.812006,19.351584,22.003550,7.490369,12.595617,18.382434,54.474305
0.771826,0.164836,0.275532,0.804387,19.020172,22.522457,7.216727,12.027617,19.184434,53.968305
0.803097,0.164836,0.275532,0.804387,18.976930,22.940353,6.769777,12.027617,19.184434,53.968305
0.854901,0.155958,0.287052,0.797294,18.501265,23.329533,6.669104,11.389617,19.986434,53.497305
0.886167,0.155958,0.287052,0.797294,18.357350,23.632229,6.323166,11.389617,19.986434,53.497305
0.937101,0.146147,0.298514,0.790758,17.924927,24.078840,6.164724,10.684617,20.784434,53.063305
0.968372,0.146147,0.298514,0.790758,17.564463,24.496736,5.991755,10.684617,20.784434,53.063305
1.019563,0.135487,0.309790,0.784809,17.290820,24.900443,5.847501,9.918617,21.569434,52.668305
