t,Icx,Icy,Icz,Bmx,Bmy,Bmz,Bcx,Bcy,Bcz
0.524785,0.18547,0.241479,0.828671,20.028933,19.913733,7.634622,19.534284,21.009199,7.67876800000001
0.556041,0.18547,0.241479,0.828671,20.04346,20.403925,7.721107,19.534284,21.009199,7.67876800000001
0.607146,0.179627,0.252623,0.820121,19.755291,20.850536,7.86536,19.114284,21.785199,7.11076800000001
0.638413,0.179627,0.252623,0.820121,19.668806,21.239716,7.793065,19.114284,21.785199,7.11076800000001
0.689542,0.172739,0.264013,0.812006,19.567795,21.715381,7.360642,18.619284,22.578199,6.57176800000001
0.720801,0.172739,0.264013,0.812006,19.351584,22.00355,7.490369,18.619284,22.578199,6.57176800000001
0.771826,0.164836,0.275532,0.804387,19.020172,22.522457,7.216727,18.051284,23.380199,6.06576800000001
0.803097,0.164836,0.275532,0.804387,18.97693,22.940353,6.769777,18.051284,23.380199,6.06576800000001
0.854901,0.155958,0.287052,0.797294,18.501265,23.329533,6.669104,17.413284,24.182199,5.594768
0.886167,0.155958,0.287052,0.797294,18.35735,23.632229,6.323166,17.413284,24.182199,5.594768
0.937101,0.146147,0.298514,0.790758,17.924927,24.07884,6.164724,16.708284,24.980199,5.160768
0.968372,0.146147,0.298514,0.790758,17.564463,24.496736,5.991755,16.708284,24.980199,5.160768
1.019563,0.135487,0.30979,0.784809,17.29082,24.900443,5.847501,15.942284,25.765199,4.765768
1.050819,0.135487,0.30979,0.784809,16.944882,25.347055,5.40089,15.942284,25.765199,4.765768
1.101989,0.124033,0.320793,0.779462,16.454691,25.851435,5.314405,15.119284,26.531199,4.410768
1.133258,0.124033,0.320793,0.779462,16.094564,26.067646,5.256636,15.119284,26.531199,4.410768
1.184382,0.111869,0.331451,0.774717,15.532415,26.471353,4.953941,14.245284,27.273199,4.09576800000001
1.215632,0.111869,0.331451,0.774717,15.489172,27.119987,4.867456,14.245284,27.273199,4.09576800000001
1.267034,0.099079,0.341678,0.770559,14.783107,27.37944,4.694487,13.326284,27.985199,3.819768
1.298294,0.099079,0.341678,0.770559,14.451696,27.66761,4.435034,13.326284,27.985199,3.819768
1.349081,0.085732,0.351387,0.766989,13.860831,27.970305,4.103622,12.367284,28.661199,3.582768
1.38035,0.085732,0.351387,0.766989,13.514893,28.359148,4.161391,12.367284,28.661199,3.582768
1.431474,0.071942,0.36055,0.763976,12.823017,28.806097,3.930653,11.376284,29.299199,3.38276800000001
1.462732,0.071942,0.36055,0.763976,12.57809,29.295951,3.872884,11.376284,29.299199,3.38276800000001
1.513911,0.057764,0.369081,0.76149,11.842972,29.541215,3.800926,10.357284,29.893199,3.21776800000001
1.545181,0.057764,0.369081,0.76149,11.568992,29.843911,3.685726,10.357284,29.893199,3.21776800000001
1.596685,0.04331,0.376965,0.759486,10.891642,30.175322,3.657011,9.318284,30.442199,3.084768
1.627941,0.04331,0.376965,0.759486,10.473747,30.564503,3.469515,9.318284,30.442199,3.084768
1.679005,0.028664,0.384173,0.75795,9.695386,30.737472,3.397557,8.265284,30.944199,2.98276800000001
1.710256,0.028664,0.384173,0.75795,9.464986,31.011114,3.311073,8.265284,30.944199,2.98276800000001
1.761239,0.013896,0.390677,0.756835,8.88831,31.443537,3.296546,7.203284,31.397199,2.908768
1.792502,0.013896,0.390677,0.756835,8.210961,31.501306,3.267831,7.203284,31.397199,2.908768
1.843568,0.000882,0.396478,0.756081,7.230915,31.919201,3.051619,6.140284,31.801199,2.85876800000001
1.874837,0.000882,0.396478,0.756081,6.712346,32.034401,3.166819,6.140284,31.801199,2.85876800000001
