t,Icx,Icy,Icz,Bmx,Bmy,Bmz,Bcx,Bcy,Bcz
1.050819,0.135487,0.309790,0.784809,17.395570,25.280399,5.206072,17.413284,24.182199,5.594768
1.101989,0.124033,0.320793,0.779462,16.905379,25.784779,5.119587,16.708284,24.980199,5.160768
1.133258,0.124033,0.320793,0.779462,16.545252,26.000990,5.061818,16.708284,24.980199,5.160768
1.184382,0.111869,0.331451,0.774717,15.983103,26.404697,4.759123,15.942284,25.765199,4.765768
1.215632,0.111869,0.331451,0.774717,15.939860,27.053331,4.672638,15.942284,25.765199,4.765768
1.267034,0.099079,0.341678,0.770559,15.233795,27.312784,4.499669,15.119284,26.531199,4.410768
1.298294,0.099079,0.341678,0.770559,14.902384,27.600954,4.240216,15.119284,26.531199,4.410768
1.349081,0.085732,0.351387,0.766989,14.311519,27.903649,3.908804,14.245284,27.273199,4.095768
1.380350,0.085732,0.351387,0.766989,13.965581,28.292492,3.966573,14.245284,27.273199,4.095768
1.431474,0.071942,0.360550,0.763976,13.273705,28.739441,3.735835,13.326284,27.985199,3.819768
1.462732,0.071942,0.360550,0.763976,13.028778,29.229295,3.678066,13.326284,27.985199,3.819768
1.513911,0.057764,0.369081,0.761490,12.293660,29.474559,3.606108,12.367284,28.661199,3.582768
1.545181,0.057764,0.369081,0.761490,12.019680,29.777255,3.490908,12.367284,28.661199,3.582768
1.596685,0.043310,0.376965,0.759486,11.342330,30.108666,3.462193,11.376284,29.299199,3.382768
1.627941,0.043310,0.376965,0.759486,10.924435,30.497847,3.274697,11.376284,29.299199,3.382768
1.679005,0.028664,0.384173,0.757950,10.146074,30.670816,3.202739,10.357284,29.893199,3.217768
1.710256,0.028664,0.384173,0.757950,9.614548,30.944458,3.116255,10.357284,29.893199,3.217768
1.761239,0.013896,0.390677,0.756835,9.338998,31.376881,3.101728,9.318284,30.442199,3.084768
1.792502,0.013896,0.390677,0.756835,8.857708,31.434650,3.073013,9.318284,30.442199,3.084768
1.843568,0.000882,0.396478,0.756081,7.681603,31.852545,2.856801,8.265284,30.944199,2.982768
1.874837,0.000882,0.396478,0.756081,7.104196,31.967745,2.972001,8.265284,30.944199,2.982768
1.926127,0.015627,0.401560,0.755660,6.526789,32.198483,2.856801,7.203284,31.397199,2.908768
1.957388,0.015627,0.401560,0.755660,5.949382,32.486652,2.727075,7.203284,31.397199,2.908768
2.008646,0.030241,0.405939,0.755524,5.371975,32.731579,2.856801,6.140284,31.801199,2.858768
2.039913,0.030241,0.405939,0.755524,4.794568,32.789348,2.827748,6.140284,31.801199,2.858768
2.090997,0.044656,0.409628,0.755629,4.619800,32.933264,2.655117,5.079284,32.155199,2.830768
2.122254,0.044656,0.409628,0.755629,4.418116,33.135286,2.827748,5.079284,32.155199,2.830768
2.173393,0.058828,0.412671,0.755931,3.697524,33.207244,2.827748,4.027284,32.460199,2.821768
2.204658,0.058828,0.412671,0.755931,3.322870,33.452171,2.856801,4.027284,32.460199,2.821768
2.255937,0.072689,0.415068,0.756398,2.544510,33.682909,2.597348,2.989284,32.717199,2.828768
2.287205,0.072689,0.415068,0.756398,2.342825,33.855878,2.842275,2.989284,32.717199,2.828768
2.338392,0.086182,0.416877,0.756985,1.622234,33.812636,2.799032,1.968284,32.929199,2.848768
2.369665,0.086182,0.416877,0.756985,1.319538,33.855878,2.842275,1.968284,32.929199,2.848768
2.420785,0.099281,0.418125,0.757663,0.685431,33.884593,2.885517,0.969284,33.096199,2.879768
2.452041,0.099281,0.418125,0.757663,0.050986,34.028847,2.799032,0.969284,33.096199,2.879768
2.503129,0.111930,0.418857,0.758387,-0.410152,34.100805,2.770317,-0.003716,33.222199,2.918768
2.534398,0.111930,0.418857,0.758387,-0.770279,34.043036,2.914232,-0.003716,33.222199,2.918768
2.585446,0.124102,0.419101,0.759155,-1.274659,34.244720,2.770317,-0.948716,33.309199,2.963768
2.616714,0.124102,0.419101,0.759155,-1.707082,34.187289,2.928759,-0.948716,33.309199,2.963768
2.668272,0.135782,0.418915,0.759938,-2.225989,34.201478,2.856801,-1.861716,33.360199,3.011768
2.699544,0.135782,0.418915,0.759938,-2.528685,34.273774,2.972001,-1.861716,33.360199,3.011768
2.750601,0.146932,0.418341,0.760707,-3.134076,34.158236,2.928759,-2.740716,33.377199,3.062768
2.781857,0.146932,0.418341,0.760707,-3.277992,34.360258,3.073013,-2.740716,33.377199,3.062768
2.833125,0.157536,0.417422,0.761430,-3.897910,34.244720,3.015244,-3.584716,33.364199,3.114768
2.864376,0.157536,0.417422,0.761430,-4.315806,34.172762,3.116255,-3.584716,33.364199,3.114768
2.915287,0.167595,0.416202,0.762123,-4.805660,34.244720,3.188213,-4.390716,33.324199,3.165768
2.946544,0.167595,0.416202,0.762123,-5.151598,34.144047,3.029770,-4.390716,33.324199,3.165768
2.997985,0.177070,0.414709,0.762771,-5.627262,34.158236,3.029770,-5.157716,33.260199,3.213768
3.029247,0.177070,0.414709,0.762771,-5.785705,34.230531,3.159497,-5.157716,33.260199,3.213768
3.080417,0.185988,0.412987,0.763343,-6.246843,33.999793,3.116255,-5.885716,33.175199,3.259768
3.111686,0.185988,0.412987,0.763343,-6.564065,33.870067,3.188213,-5.885716,33.175199,3.259768
3.162714,0.194322,0.411092,0.763870,-6.938719,33.942362,3.101728,-6.571716,33.071199,3.302768
3.193984,0.194322,0.411092,0.763870,-7.226888,33.884593,3.245982,-6.571716,33.071199,3.302768
3.245227,0.202087,0.409025,0.764322,-7.544110,33.870067,3.116255,-7.217716,32.951199,3.340768
3.276496,0.202087,0.409025,0.764322,-7.817753,33.841351,3.101728,-7.217716,32.951199,3.340768
3.330641,0.209270,0.406857,0.764699,-8.106260,33.971078,3.260170,-7.821716,32.819199,3.375768
3.361896,0.209270,0.406857,0.764699,-8.293418,33.610613,3.332466,-7.821716,32.819199,3.375768
3.410241,0.215870,0.404575,0.765030,-8.812325,33.553182,3.317939,-8.384716,32.675199,3.405768
3.441493,0.215870,0.404575,0.765030,-8.927525,33.538655,3.361182,-8.384716,32.675199,3.405768
3.492608,0.221904,0.402249,0.765302,-9.374474,33.581898,3.245982,-8.905716,32.524199,3.430768
3.523870,0.221904,0.402249,0.765302,-9.532916,33.408929,3.274697,-8.905716,32.524199,3.430768
3.574902,0.227371,0.399866,0.765528,-9.922097,33.365686,3.274697,-9.384716,32.365199,3.452768
3.606152,0.227371,0.399866,0.765528,-9.864328,33.279202,3.289224,-9.384716,32.365199,3.452768
3.663031,0.232272,0.397468,0.765708,-10.224792,33.034275,3.274697,-9.822716,32.203199,3.470768
3.694316,0.232272,0.397468,0.765708,-10.354519,33.106233,3.447666,-9.822716,32.203199,3.470768
3.749516,0.236621,0.395071,0.765859,-10.556204,32.919075,3.317939,-10.219716,32.037199,3.485768
3.780771,0.236621,0.395071,0.765859,-10.714646,32.832590,3.375708,-10.219716,32.037199,3.485768
3.828664,0.240418,0.392702,0.765995,-10.844373,32.962317,3.274697,-10.575716,31.870199,3.497768
3.859924,0.240418,0.392702,0.765995,-10.988626,32.616379,3.303413,-10.575716,31.870199,3.497768
3.904843,0.243678,0.390347,0.766130,-11.262269,32.702864,3.303413,-10.891716,31.703199,3.507768
3.936107,0.243678,0.390347,0.766130,-11.348753,32.630568,3.346655,-10.891716,31.703199,3.507768
3.987327,0.246415,0.388036,0.766266,-11.435238,32.529895,3.260170,-11.167716,31.538199,3.516768
4.018583,0.246415,0.388036,0.766266,-11.449764,32.400168,3.476382,-11.167716,31.538199,3.516768
4.069682,0.248615,0.385781,0.766446,-11.694691,32.428883,3.303413,-11.404716,31.374199,3.525768
4.100939,0.248615,0.385781,0.766446,-11.737933,32.255914,3.462193,-11.404716,31.374199,3.525768
4.151999,0.250306,0.383570,0.766657,-11.781176,32.284968,3.389897,-11.603716,31.213199,3.534768
4.183260,0.250306,0.383570,0.766657,-11.910902,32.111999,3.389897,-11.603716,31.213199,3.534768
4.234450,0.251502,0.381431,0.766913,-11.982860,31.996461,3.375708,-11.763716,31.056199,3.546768
4.265722,0.251502,0.381431,0.766913,-12.155829,31.967745,3.332466,-11.763716,31.056199,3.546768
4.317240,0.252203,0.379348,0.767260,-12.055156,31.852545,3.418951,-11.886716,30.902199,3.560768
4.348501,0.252203,0.379348,0.767260,-12.127114,31.924503,3.433139,-11.886716,30.902199,3.560768
4.399432,0.252423,0.377324,0.767697,-12.155829,31.794776,3.447666,-11.973716,30.753199,3.577768
4.430702,0.252423,0.377324,0.767697,-12.271367,31.737007,3.476382,-11.973716,30.753199,3.577768
4.481843,0.252176,0.375371,0.768224,-12.127114,31.737007,3.317939,-12.024716,30.608199,3.600768
4.513114,0.252176,0.375371,0.768224,-12.155829,31.492081,3.519624,-12.024716,30.608199,3.600768
4.564120,0.251475,0.373461,0.768887,-12.184883,31.448838,3.606108,-12.040716,30.467199,3.629768
4.595389,0.251475,0.373461,0.768887,-12.228125,31.434650,3.462193,-12.040716,30.467199,3.629768
4.646530,0.250334,0.371608,0.769685,-12.285556,31.304923,3.548677,-12.022716,30.331199,3.664768
4.677797,0.250334,0.371608,0.769685,-11.997387,31.232627,3.562866,-12.022716,30.331199,3.664768
4.729078,0.248766,0.369799,0.770619,-12.127114,31.045469,3.634824,-11.971716,30.198199,3.708768
4.760338,0.248766,0.369799,0.770619,-12.055156,31.146143,3.548677,-11.971716,30.198199,3.708768
4.811697,0.246786,0.368033,0.771734,-12.040629,30.987700,3.649351,-11.888716,30.069199,3.761768
4.842957,0.246786,0.368033,0.771734,-11.968671,31.030943,3.678066,-11.888716,30.069199,3.761768
4.893894,0.244393,0.366281,0.773030,-11.723744,30.929931,3.634824,-11.774716,29.943199,3.823768
4.925156,0.244393,0.366281,0.773030,-11.882187,30.872500,3.880089,-11.774716,29.943199,3.823768
4.976401,0.241629,0.364543,0.774506,-11.665976,30.728247,3.836846,-11.630716,29.820199,3.897768
5.007658,0.241629,0.364543,0.774506,-11.622733,30.685005,3.880089,-11.630716,29.820199,3.897768
5.058890,0.238492,0.362805,0.776193,-11.507533,30.613047,3.923331,-11.456716,29.698199,3.983768
5.090141,0.238492,0.362805,0.776193,-11.493007,30.555278,3.923331,-11.456716,29.698199,3.983768
5.141444,0.235011,0.361053,0.778091,-11.320037,30.699531,4.153731,-11.255716,29.577199,4.081768
5.172713,0.235011,0.361053,0.778091,-11.132542,30.497847,4.024004,-11.255716,29.577199,4.081768
5.224123,0.231184,0.359258,0.780200,-10.974099,30.483320,4.168258,-11.027716,29.456199,4.193768
5.255381,0.231184,0.359258,0.780200,-10.887615,30.512036,4.096300,-11.027716,29.456199,4.193768
5.306200,0.227054,0.357434,0.782534,-10.815657,30.310351,4.254742,-10.774716,29.334199,4.319768
5.337473,0.227054,0.357434,0.782534,-10.613973,30.310351,4.312511,-10.774716,29.334199,4.319768
5.389144,0.222606,0.355538,0.785095,-10.455192,30.223866,4.326700,-10.496716,29.209199,4.459768
5.420410,0.222606,0.355538,0.785095,-10.469719,29.978940,4.456427,-10.496716,29.209199,4.459768
5.471446,0.217896,0.353585,0.787896,-10.123781,29.949886,4.614869,-10.196716,29.082199,4.614768
5.502714,0.217896,0.353585,0.787896,-10.080539,29.877928,4.600680,-10.196716,29.082199,4.614768
5.553655,0.212922,0.351517,0.790924,-9.792370,29.791444,4.802365,-9.873716,28.950199,4.784768
5.584910,0.212922,0.351517,0.790924,-9.734601,29.719486,4.802365,-9.873716,28.950199,4.784768
