t,Icx,Icy,Icz,Imx,Imy,Imz,Bcx,Bcy,Bcz,Bmx,Bmy,Bmz,polx,poly,polz,ERROR
0.654269,0.081970,0.009653,0.789232,0.007456,0.006304,0.797674,-0.457000,2.938000,4.537000,-0.467492,2.743189,3.777404,-1.000000,-1.000000,1.000000,0.000000
0.685521,0.081970,0.009653,0.789232,0.005871,0.006304,0.798972,-0.457000,2.938000,4.537000,-0.510735,2.613463,3.950373,-1.000000,-1.000000,1.000000,0.000000
0.716771,0.081970,0.009653,0.789232,0.006591,0.006736,0.795945,-0.457000,2.938000,4.537000,-0.366481,2.426305,3.950373,-1.000000,-1.000000,1.000000,0.000000
0.748027,0.079616,0.013191,0.792076,0.005439,0.006736,0.798394,-0.287000,2.690000,4.726000,-0.248367,2.631704,4.063177,-1.000000,-1.000000,1.000000,0.000000
0.779288,0.079616,0.013191,0.792076,0.006013,0.007456,0.798539,-0.287000,2.690000,4.726000,-0.378094,2.631704,4.207430,-1.000000,-1.000000,1.000000,0.000000
0.817060,0.079616,0.013191,0.792076,0.007169,0.006878,0.801566,-0.287000,2.690000,4.726000,-0.147694,2.386777,4.293915,-1.000000,-1.000000,1.000000,0.000000
0.848311,0.079616,0.013191,0.792076,0.007743,0.006878,0.800556,-0.287000,2.690000,4.726000,-0.190936,2.329346,4.423641,-1.000000,-1.000000,1.000000,0.000000
0.879582,0.079616,0.013191,0.792076,0.006159,0.007601,0.800847,-0.287000,2.690000,4.726000,-0.046683,2.257050,4.452357,-1.000000,-1.000000,1.000000,0.000000
0.910843,0.077219,0.016914,0.794649,0.008034,0.006159,0.801279,-0.114000,2.429000,4.897000,-0.274713,2.247532,4.437046,-1.000000,-1.000000,1.000000,0.000000
0.966554,0.077219,0.016914,0.794649,0.005439,0.007456,0.802576,-0.114000,2.429000,4.897000,-0.073029,2.031320,4.610015,-1.000000,-1.000000,1.000000,0.000000
0.997813,0.077219,0.016914,0.794649,0.007601,0.006159,0.802431,-0.114000,2.429000,4.897000,-0.000733,2.031320,4.610015,-1.000000,-1.000000,1.000000,0.000000
1.029064,0.077219,0.016914,0.794649,0.006304,0.007888,0.803728,-0.114000,2.429000,4.897000,0.042509,2.103278,4.711026,-1.000000,-1.000000,1.000000,0.000000
1.060329,0.074809,0.020764,0.796936,0.006013,0.006159,0.802863,0.060000,2.159000,5.049000,0.001569,2.108948,4.682888,-1.000000,-1.000000,1.000000,0.000000
1.091595,0.074809,0.020764,0.796936,0.007456,0.007456,0.803151,0.060000,2.159000,5.049000,0.044811,2.051179,4.639646,-1.000000,-1.000000,1.000000,0.000000
1.129355,0.074809,0.020764,0.796936,0.006878,0.005581,0.802576,0.060000,2.159000,5.049000,0.044811,1.993410,4.812615,-1.000000,-1.000000,1.000000,0.000000
1.160624,0.074809,0.020764,0.796936,0.007023,0.007601,0.804161,0.060000,2.159000,5.049000,0.145822,1.964695,4.697415,-1.000000,-1.000000,1.000000,0.000000
1.191890,0.074809,0.020764,0.796936,0.007311,0.007888,0.804015,0.060000,2.159000,5.049000,0.174538,1.863684,4.726131,-1.000000,-1.000000,1.000000,0.000000
1.223162,0.072356,0.024756,0.798952,0.005149,0.006304,0.804880,0.237000,1.879000,5.183000,0.176973,1.769077,4.901628,-1.000000,-1.000000,1.000000,0.000000
1.278661,0.072356,0.024756,0.798952,0.009040,0.007888,0.805171,0.237000,1.879000,5.183000,0.349942,1.509624,4.843859,-1.000000,-1.000000,1.000000,0.000000
1.309930,0.072356,0.024756,0.798952,0.007888,0.006591,0.806177,0.237000,1.879000,5.183000,0.364130,1.538677,4.930344,-1.000000,-1.000000,1.000000,0.000000
1.341181,0.072356,0.024756,0.798952,0.006591,0.006878,0.805890,0.237000,1.879000,5.183000,0.450615,1.466382,4.800617,-1.000000,-1.000000,1.000000,0.000000
1.372432,0.069876,0.028834,0.800652,0.006304,0.007023,0.805890,0.416000,1.593000,5.296000,0.467440,1.545186,4.934752,-1.000000,-1.000000,1.000000,0.000000
1.403692,0.069876,0.028834,0.800652,0.007169,0.006591,0.807042,0.416000,1.593000,5.296000,0.323187,1.444174,4.963467,-1.000000,-1.000000,1.000000,0.000000
1.441428,0.069876,0.028834,0.800652,0.006591,0.006013,0.808627,0.416000,1.593000,5.296000,0.323187,1.372217,4.819214,-1.000000,-1.000000,1.000000,0.000000
1.472679,0.069876,0.028834,0.800652,0.007023,0.007023,0.807907,0.416000,1.593000,5.296000,0.510683,1.343501,5.093194,-1.000000,-1.000000,1.000000,0.000000
1.503937,0.069876,0.028834,0.800652,0.006878,0.007456,0.808340,0.416000,1.593000,5.296000,0.452914,1.213774,5.179678,-1.000000,-1.000000,1.000000,0.000000
1.535192,0.067382,0.033010,0.802066,0.007311,0.008608,0.808772,0.596000,1.300000,5.390000,0.570343,1.091072,5.113494,-1.000000,-1.000000,1.000000,0.000000
1.590697,0.067382,0.033010,0.802066,0.006736,0.006159,0.809782,0.596000,1.300000,5.390000,0.671355,1.134314,5.041536,-1.000000,-1.000000,1.000000,0.000000
1.621950,0.067382,0.033010,0.802066,0.006013,0.008175,0.809350,0.596000,1.300000,5.390000,0.728786,1.119787,5.098967,-1.000000,-1.000000,1.000000,0.000000
1.653218,0.067382,0.033010,0.802066,0.007743,0.006591,0.810502,0.596000,1.300000,5.390000,0.757839,0.903576,5.113494,-1.000000,-1.000000,1.000000,0.000000
1.684490,0.064873,0.037228,0.803179,0.007601,0.006736,0.808772,0.777000,1.004000,5.464000,0.702232,1.011832,5.178824,-1.000000,-1.000000,1.000000,0.000000
1.715742,0.064873,0.037228,0.803179,0.007023,0.008321,0.808340,0.777000,1.004000,5.464000,0.745474,0.983116,5.164635,-1.000000,-1.000000,1.000000,0.000000
1.753366,0.064873,0.037228,0.803179,0.007023,0.005294,0.809782,0.777000,1.004000,5.464000,0.846148,0.911158,5.106867,-1.000000,-1.000000,1.000000,0.000000
1.784638,0.064873,0.037228,0.803179,0.006736,0.006446,0.809637,0.777000,1.004000,5.464000,0.774190,0.709474,5.265309,-1.000000,-1.000000,1.000000,0.000000
1.815905,0.064873,0.037228,0.803179,0.008034,0.006736,0.811512,0.777000,1.004000,5.464000,0.788716,0.608463,5.092340,-1.000000,-1.000000,1.000000,0.000000
1.847160,0.062351,0.041488,0.803977,0.006446,0.006446,0.809782,0.959000,0.705000,5.517000,0.790472,0.659170,5.231848,-1.000000,-1.000000,1.000000,0.000000
1.902876,0.062351,0.041488,0.803977,0.007888,0.006446,0.809059,0.959000,0.705000,5.517000,0.862768,0.558497,5.174079,-1.000000,-1.000000,1.000000,0.000000
1.934144,0.062351,0.041488,0.803977,0.006159,0.005439,0.808917,0.959000,0.705000,5.517000,0.948915,0.342285,5.289617,-1.000000,-1.000000,1.000000,0.000000
1.965406,0.062351,0.041488,0.803977,0.006446,0.006446,0.810934,0.959000,0.705000,5.517000,1.006684,0.442959,5.289617,-1.000000,-1.000000,1.000000,0.000000
1.996664,0.059828,0.045761,0.804458,0.007601,0.007023,0.810215,1.141000,0.405000,5.549000,0.907765,0.321108,5.315467,-1.000000,-1.000000,1.000000,0.000000
2.027916,0.059828,0.045761,0.804458,0.006736,0.006591,0.810934,1.141000,0.405000,5.549000,0.994250,0.537319,5.157024,-1.000000,-1.000000,1.000000,0.000000
2.066754,0.059828,0.045761,0.804458,0.006446,0.005726,0.811512,1.141000,0.405000,5.549000,1.224987,0.176855,5.344182,-1.000000,-1.000000,1.000000,0.000000
2.098024,0.059828,0.045761,0.804458,0.006159,0.006591,0.811221,1.141000,0.405000,5.549000,1.080734,0.306582,5.099256,-1.000000,-1.000000,1.000000,0.000000
2.129276,0.059828,0.045761,0.804458,0.005871,0.007601,0.811221,1.141000,0.405000,5.549000,1.080734,0.090370,5.329993,-1.000000,-1.000000,1.000000,0.000000
2.160532,0.057291,0.050034,0.804654,0.006013,0.006736,0.811512,1.324000,0.105000,5.562000,1.269918,0.025951,5.199103,-1.000000,-1.000000,1.000000,0.000000
2.215905,0.057291,0.050034,0.804654,0.006013,0.006736,0.811221,1.324000,0.105000,5.562000,1.226675,-0.017291,5.328829,-1.000000,-1.000000,1.000000,0.000000
2.247159,0.057291,0.050034,0.804654,0.008034,0.005581,0.810647,1.324000,0.105000,5.562000,1.342213,-0.002765,5.271061,-1.000000,-1.000000,1.000000,0.000000
2.278414,0.057291,0.050034,0.804654,0.006736,0.007311,0.811944,1.324000,0.105000,5.562000,1.342213,-0.233503,5.314303,-1.000000,-1.000000,1.000000,0.000000
2.309668,0.054768,0.054263,0.804534,0.006736,0.006159,0.812377,1.506000,-0.192000,5.554000,1.286537,0.033607,5.185293,-1.000000,-1.000000,1.000000,0.000000
2.340939,0.054768,0.054263,0.804534,0.008466,0.006304,0.809782,1.506000,-0.192000,5.554000,1.387210,-0.240373,5.271778,-1.000000,-1.000000,1.000000,0.000000
2.379531,0.054768,0.054263,0.804534,0.006878,0.005294,0.809924,1.506000,-0.192000,5.554000,1.589233,-0.211658,5.156577,-1.000000,-1.000000,1.000000,0.000000
2.410798,0.054768,0.054263,0.804534,0.006159,0.005871,0.809782,1.506000,-0.192000,5.554000,1.560179,-0.312331,5.185293,-1.000000,-1.000000,1.000000,0.000000
2.442050,0.054768,0.054263,0.804534,0.006304,0.007023,0.808772,1.506000,-0.192000,5.554000,1.473695,-0.485300,5.228535,-1.000000,-1.000000,1.000000,0.000000
2.473312,0.052231,0.058449,0.804112,0.008466,0.005581,0.808772,1.689000,-0.486000,5.526000,1.432478,-0.406245,5.202327,-1.000000,-1.000000,1.000000,0.000000
2.529220,0.052231,0.058449,0.804112,0.006304,0.006878,0.809782,1.689000,-0.486000,5.526000,1.648690,-0.506918,5.173273,-1.000000,-1.000000,1.000000,0.000000
2.560491,0.052231,0.058449,0.804112,0.007023,0.007601,0.809492,1.689000,-0.486000,5.526000,1.691932,-0.636645,5.130031,-1.000000,-1.000000,1.000000,0.000000
2.591754,0.052231,0.058449,0.804112,0.005726,0.007743,0.808340,1.689000,-0.486000,5.526000,1.720647,-0.679887,4.957400,-1.000000,-1.000000,1.000000,0.000000
2.623025,0.049721,0.062548,0.803420,0.006159,0.006446,0.809492,1.870000,-0.774000,5.480000,1.708282,-0.788431,5.119961,-1.000000,-1.000000,1.000000,0.000000
2.683959,0.049721,0.062548,0.803420,0.006159,0.007888,0.809204,1.870000,-0.774000,5.480000,1.809294,-0.773904,5.206446,-1.000000,-1.000000,1.000000,0.000000
2.715230,0.049721,0.062548,0.803420,0.006159,0.007169,0.810069,1.870000,-0.774000,5.480000,1.895778,-0.831673,5.220635,-1.000000,-1.000000,1.000000,0.000000
2.746489,0.049721,0.062548,0.803420,0.006446,0.007888,0.808340,1.870000,-0.774000,5.480000,1.881251,-1.019169,5.163203,-1.000000,-1.000000,1.000000,0.000000
2.777746,0.047225,0.066561,0.802442,0.005439,0.007023,0.807620,2.050000,-1.056000,5.415000,1.854428,-1.041670,5.154497,-1.000000,-1.000000,1.000000,0.000000
2.808996,0.047225,0.066561,0.802442,0.005871,0.005726,0.808627,2.050000,-1.056000,5.415000,1.969966,-0.926132,5.068012,-1.000000,-1.000000,1.000000,0.000000
2.847628,0.047225,0.066561,0.802442,0.006304,0.006591,0.808772,2.050000,-1.056000,5.415000,2.013208,-1.128155,5.010581,-1.000000,-1.000000,1.000000,0.000000
2.878896,0.047225,0.066561,0.802442,0.006159,0.006446,0.807907,2.050000,-1.056000,5.415000,2.056450,-1.128155,5.068012,-1.000000,-1.000000,1.000000,0.000000
2.910163,0.047225,0.066561,0.802442,0.007456,0.007456,0.808052,2.050000,-1.056000,5.415000,2.085166,-1.301124,5.039297,-1.000000,-1.000000,1.000000,0.000000
2.941430,0.044742,0.070474,0.801209,0.007456,0.006159,0.807042,2.229000,-1.331000,5.333000,1.928683,-1.468055,5.161839,-1.000000,-1.000000,1.000000,0.000000
2.996121,0.044742,0.070474,0.801209,0.006304,0.007456,0.804738,2.229000,-1.331000,5.333000,2.072937,-1.324139,4.974681,-1.000000,-1.000000,1.000000,0.000000
3.027381,0.044742,0.070474,0.801209,0.007888,0.006304,0.804738,2.229000,-1.331000,5.333000,2.217190,-1.424813,4.960154,-1.000000,-1.000000,1.000000,0.000000
3.058631,0.044742,0.070474,0.801209,0.007601,0.007311,0.806177,2.229000,-1.331000,5.333000,2.231379,-1.424813,5.061165,-1.000000,-1.000000,1.000000,0.000000
3.089886,0.042273,0.074243,0.799704,0.005871,0.006446,0.806177,2.407000,-1.596000,5.233000,2.262461,-1.520522,4.969109,-1.000000,-1.000000,1.000000,0.000000
3.121137,0.042273,0.074243,0.799704,0.007601,0.005726,0.806610,2.407000,-1.596000,5.233000,2.320230,-1.650248,4.810667,-1.000000,-1.000000,1.000000,0.000000
