t,Icx,Icy,Icz,Imx,Imy,Imz,Bcx,Bcy,Bcz,Bmx,Bmy,Bmz,polx,poly,polz,ERROR
0.649696,0.364565,0.150333,0.890106,0.372806,0.191212,0.874781,-20.943000,-6.639000,11.231000,-20.764101,-5.408234,10.855379,-1.000000,-1.000000,1.000000,0.000000
0.694052,0.364918,0.164324,0.880821,0.371363,0.202451,0.862098,-20.969000,-7.627000,10.613000,-20.907888,-6.214861,10.691819,-1.000000,-1.000000,1.000000,0.000000
0.738306,0.365285,0.177440,0.870226,0.372515,0.212975,0.849704,-20.996000,-8.554000,9.908000,-20.792205,-7.310581,9.910004,-1.000000,-1.000000,1.000000,0.000000
0.782550,0.365652,0.189614,0.858397,0.371218,0.222198,0.836298,-21.023000,-9.415000,9.121000,-20.863679,-8.219805,9.374364,-1.000000,-1.000000,1.000000,0.000000
0.826726,0.366033,0.200719,0.845422,0.375110,0.229549,0.822464,-21.051000,-10.201000,8.258000,-21.036146,-8.986252,8.666913,-1.000000,-1.000000,1.000000,0.000000
0.871138,0.366413,0.210673,0.831407,0.373812,0.236322,0.803728,-21.079000,-10.906000,7.326000,-20.992403,-9.566430,7.801731,-1.000000,-1.000000,1.000000,0.000000
0.915269,0.366794,0.219394,0.816501,0.372373,0.243528,0.791188,-21.107000,-11.524000,6.335000,-20.977374,-10.364138,6.822586,-1.000000,-1.000000,1.000000,0.000000
0.961474,0.367188,0.226798,0.800795,0.375400,0.246555,0.767841,-21.136000,-12.049000,5.291000,-21.236308,-10.918329,5.800668,-1.000000,-1.000000,1.000000,0.000000
1.012798,0.367596,0.232832,0.784440,0.374390,0.247129,0.750979,-21.166000,-12.477000,4.204000,-21.149286,-11.344263,4.765215,-1.000000,-1.000000,1.000000,0.000000
1.060891,0.368004,0.237468,0.767570,0.374968,0.249004,0.733686,-21.196000,-12.806000,3.083000,-21.249759,-11.944330,3.629269,-1.000000,-1.000000,1.000000,0.000000
1.108686,0.368425,0.240638,0.750324,0.377272,0.250589,0.714517,-21.227000,-13.031000,1.937000,-21.393120,-12.142943,2.421746,-1.000000,-1.000000,1.000000,0.000000
1.156673,0.368860,0.242343,0.732865,0.375542,0.246988,0.698518,-21.259000,-13.152000,0.777000,-21.219916,-12.314077,1.358351,-1.000000,-1.000000,1.000000,0.000000
1.215755,0.369308,0.242554,0.715317,0.375255,0.243238,0.682089,-21.292000,-13.167000,-0.389000,-21.363239,-12.414523,-0.007310,-1.000000,-1.000000,1.000000,0.000000
1.264735,0.369770,0.241286,0.697829,0.378282,0.241508,0.665370,-21.326000,-13.077000,-1.551000,-21.477830,-12.430414,-1.200400,-1.000000,-1.000000,1.000000,0.000000
1.311312,0.370232,0.238539,0.680554,0.378282,0.234593,0.647499,-21.360000,-12.882000,-2.699000,-21.477221,-12.245874,-2.033239,-1.000000,-1.000000,1.000000,0.000000
