t,Icx,Icy,Icz,Imx,Imy,Imz,Bcx,Bcy,Bcz,Bmx,Bmy,Bmz,polx,poly,polz,ERROR
0.037216,0.076436,0.051731,0.719870,0.008321,0.006736,1.081452,0.000000,0.000000,0.000000,7.029231,4.723203,-86.231809,-1.000000,-1.000000,1.000000,0.000000
0.085334,0.157864,0.368946,0.607828,0.016392,0.522691,0.689582,-5.889000,29.356000,-7.448000,2.691155,7.548138,-53.890995,-1.000000,1.000000,1.000000,0.000000
0.136949,0.164210,0.371231,0.620080,0.166709,0.387792,0.630925,-6.349000,29.515000,-6.633000,-0.738834,17.074609,-35.803572,-1.000000,1.000000,1.000000,0.000000
0.189906,0.170596,0.373171,0.632801,0.175790,0.378424,0.640151,-6.812000,29.650000,-5.787000,-3.448232,22.666373,-24.216337,-1.000000,1.000000,1.000000,0.000000
0.242836,0.176992,0.374708,0.645961,0.182996,0.380731,0.655137,-7.276000,29.757000,-4.912000,-5.192111,25.909204,-16.664145,-1.000000,1.000000,1.000000,0.000000
0.295616,0.183387,0.375843,0.659574,0.189337,0.383471,0.668255,-7.740000,29.836000,-4.007000,-6.417083,28.027736,-11.908173,-1.000000,1.000000,1.000000,0.000000
0.348619,0.189752,0.376533,0.673626,0.195536,0.383326,0.683099,-8.202000,29.884000,-3.073000,-7.281928,29.425677,-8.679869,-1.000000,1.000000,1.000000,0.000000
0.401638,0.196072,0.376749,0.688116,0.202597,0.384045,0.695781,-8.661000,29.899000,-2.110000,-8.132246,30.463491,-6.489378,-1.000000,1.000000,1.000000,0.000000
0.453581,0.202308,0.376461,0.703014,0.209370,0.382316,0.710626,-9.114000,29.879000,-1.120000,-8.723111,30.823618,-4.514761,-1.000000,1.000000,1.000000,0.000000
0.506364,0.208431,0.375657,0.718334,0.217296,0.382316,0.726480,-9.559000,29.823000,-0.102000,-9.443703,31.241852,-2.886420,-1.000000,1.000000,1.000000,0.000000
0.559209,0.214428,0.374277,0.734032,0.221188,0.380299,0.742044,-9.995000,29.727000,0.941000,-9.775114,31.357052,-1.675637,-1.000000,1.000000,1.000000,0.000000
0.612284,0.220258,0.372337,0.750075,0.225799,0.377417,0.755591,-10.419000,29.592000,2.007000,-10.250779,31.184083,-0.378708,-1.000000,1.000000,1.000000,0.000000
0.665150,0.225907,0.369765,0.766465,0.234160,0.376694,0.773749,-10.830000,29.413000,3.096000,-10.841644,31.256041,0.961802,-1.000000,1.000000,1.000000,0.000000
0.718041,0.231348,0.366575,0.783168,0.237329,0.371508,0.790614,-11.226000,29.191000,4.206000,-11.086908,31.227325,2.013805,-1.000000,1.000000,1.000000,0.000000
0.770887,0.236539,0.362738,0.800141,0.243815,0.368914,0.806755,-11.604000,28.924000,5.334000,-11.620004,31.198610,3.238777,-1.000000,1.000000,1.000000,0.000000
0.832196,0.241455,0.358211,0.817336,0.247994,0.363147,0.827076,-11.962000,28.609000,6.477000,-11.922700,31.025641,4.492802,-1.000000,1.000000,1.000000,0.000000
0.885785,0.246080,0.353009,0.834753,0.253761,0.359113,0.846964,-12.299000,28.247000,7.635000,-12.412554,30.866861,5.501563,-1.000000,1.000000,1.000000,0.000000
0.938735,0.250375,0.347088,0.852316,0.255633,0.353492,0.863396,-12.612000,27.835000,8.803000,-12.816261,30.348291,6.712346,-1.000000,1.000000,1.000000,0.000000
0.991605,0.254325,0.340449,0.869994,0.261541,0.346573,0.881554,-12.900000,27.373000,9.979000,-12.989230,30.016542,7.908603,-1.000000,1.000000,1.000000,0.000000
1.042502,0.257890,0.333091,0.887740,0.264281,0.339367,0.896111,-13.160000,26.861000,11.160000,-13.306114,29.598646,8.946079,-1.000000,1.000000,1.000000,0.000000
1.095648,0.261057,0.324986,0.905508,0.265866,0.329857,0.916864,-13.391000,26.297000,12.343000,-13.681106,29.252708,10.344020,-1.000000,1.000000,1.000000,0.000000
1.148712,0.263799,0.316162,0.923254,0.270767,0.320199,0.935310,-13.591000,25.683000,13.525000,-13.825021,28.777381,11.468318,-1.000000,1.000000,1.000000,0.000000
1.201439,0.266088,0.306591,0.940930,0.273794,0.310544,0.951019,-13.758000,25.017000,14.703000,-14.127717,28.143274,12.678764,-1.000000,1.000000,1.000000,0.000000
1.254459,0.267896,0.296303,0.958462,0.273504,0.299733,0.968748,-13.890000,24.301000,15.872000,-14.286159,27.782810,13.918262,-1.000000,1.000000,1.000000,0.000000
1.307310,0.269212,0.285281,0.975803,0.278406,0.291662,0.986761,-13.986000,23.534000,17.029000,-14.459128,26.932491,15.129045,-1.000000,1.000000,1.000000,0.000000
1.360355,0.270006,0.273571,0.992924,0.278115,0.278693,1.003768,-14.044000,22.719000,18.172000,-14.574666,26.183184,16.425975,-1.000000,1.000000,1.000000,0.000000
1.413077,0.270253,0.261159,1.009749,0.278693,0.265146,1.020487,-14.062000,21.855000,19.296000,-14.646624,25.520024,17.377305,-1.000000,1.000000,1.000000,0.000000
1.466155,0.269965,0.248072,1.026233,0.278980,0.252031,1.037638,-14.041000,20.944000,20.398000,-14.560139,24.712947,18.515792,-1.000000,1.000000,1.000000,0.000000
1.519199,0.269102,0.234355,1.042317,0.277541,0.237042,1.053489,-13.978000,19.989000,21.474000,-14.675340,24.064314,19.870491,-1.000000,1.000000,1.000000,0.000000
1.572007,0.267650,0.220024,1.057956,0.275953,0.224792,1.069344,-13.872000,18.991000,22.521000,-14.848309,23.041364,20.994789,-1.000000,1.000000,1.000000,0.000000
1.624901,0.265594,0.205106,1.073106,0.276098,0.209515,1.083901,-13.722000,17.952000,23.536000,-14.704393,22.032266,21.960308,-1.000000,1.000000,1.000000,0.000000
1.678011,0.262949,0.189647,1.087708,0.270044,0.192364,1.098167,-13.529000,16.875000,24.515000,-14.387170,21.109989,22.998122,-1.000000,1.000000,1.000000,0.000000
1.730856,0.259673,0.173690,1.101717,0.267308,0.177520,1.113877,-13.290000,15.763000,25.455000,-14.401697,19.885018,24.050125,-1.000000,1.000000,1.000000,0.000000
1.783772,0.255779,0.157279,1.115091,0.262551,0.160800,1.125697,-13.006000,14.619000,26.353000,-14.041232,18.976930,25.087601,-1.000000,1.000000,1.000000,0.000000
1.836829,0.251253,0.140473,1.127785,0.257650,0.141058,1.138666,-12.676000,13.447000,27.206000,-13.825021,17.910401,26.298384,-1.000000,1.000000,1.000000,0.000000
1.889761,0.246094,0.123300,1.139771,0.253183,0.122034,1.148467,-12.300000,12.249000,28.012000,-13.580094,16.584417,26.990260,-1.000000,1.000000,1.000000,0.000000
1.944502,0.240301,0.105835,1.151006,0.248859,0.159361,1.161007,-11.878000,11.030000,28.768000,-13.320641,15.474983,28.042263,-1.000000,1.000000,1.000000,0.000000
