t,Icx,Icy,Icz,Imx,Imy,Imz,Bcx,Bcy,Bcz,Bmx,Bmy,Bmz,polx,poly,polz,ERROR
0.065166,0.075822,0.048680,0.722485,0.007023,0.006736,0.929692,0.000000,0.000000,0.000000,5.314405,3.959369,-77.166476,-1.000000,-1.000000,1.000000,0.000000
0.127227,0.383398,0.000956,1.090768,0.347006,0.007601,1.181470,-22.433000,3.495000,24.480000,-4.745499,3.772211,-41.179462,-1.000000,1.000000,1.000000,0.000000
0.172483,0.381052,0.001966,1.099249,0.380299,0.005726,1.112437,-22.084000,3.638000,25.611000,-10.870697,4.435034,-17.932697,-1.000000,1.000000,1.000000,0.000000
0.210793,0.378665,0.002989,1.107652,0.382174,0.006736,1.107826,-22.084000,3.638000,25.611000,-14.574666,4.953941,-4.414088,-1.000000,1.000000,1.000000,0.000000
0.249249,0.376237,0.003999,1.115991,0.383471,0.006013,1.118346,-21.722000,3.781000,26.724000,-16.866168,5.170152,4.939414,-1.000000,1.000000,1.000000,0.000000
0.287912,0.373755,0.005023,1.124250,0.380444,0.006446,1.129876,-21.722000,3.781000,26.724000,-18.653289,5.487036,11.814256,-1.000000,1.000000,1.000000,0.000000
0.326748,0.371244,0.006032,1.132417,0.377849,0.006304,1.137656,-21.537000,3.852000,27.272000,-19.734007,5.616763,16.843871,-1.000000,1.000000,1.000000,0.000000
0.365429,0.368679,0.007056,1.140519,0.373958,0.006736,1.144575,-21.348000,3.924000,27.816000,-20.310683,5.919459,20.201902,-1.000000,1.000000,1.000000,0.000000
0.403140,0.366072,0.008066,1.148558,0.374968,0.006591,1.153078,-21.156000,3.995000,28.356000,-20.786010,5.977228,22.868395,-1.000000,1.000000,1.000000,0.000000
0.440493,0.363424,0.009090,1.156503,0.372515,0.008608,1.160862,-20.961000,4.067000,28.890000,-21.059991,6.063712,24.885916,-1.000000,1.000000,1.000000,0.000000
0.477686,0.360749,0.010114,1.164370,0.368336,0.006304,1.169220,-20.764000,4.139000,29.419000,-21.247486,6.351882,26.327100,-1.000000,1.000000,1.000000,0.000000
0.515149,0.358018,0.011124,1.172173,0.365022,0.006591,1.177868,-20.563000,4.210000,29.944000,-21.189717,6.236681,27.826052,-1.000000,1.000000,1.000000,0.000000
0.552289,0.355260,0.012148,1.179898,0.362860,0.007456,1.184355,-20.360000,4.282000,30.464000,-21.088706,6.323166,28.849339,-1.000000,1.000000,1.000000,0.000000
0.595191,0.352460,0.013172,1.187545,0.359978,0.008608,1.194297,-20.154000,4.354000,30.979000,-21.074517,6.467082,29.670942,-1.000000,1.000000,1.000000,0.000000
0.638687,0.349632,0.014196,1.195113,0.357671,0.006736,1.202081,-19.946000,4.426000,31.489000,-20.901548,6.438366,30.650987,-1.000000,1.000000,1.000000,0.000000
0.682216,0.346763,0.015220,1.202603,0.355654,0.007169,1.208709,-19.735000,4.498000,31.994000,-20.757295,6.568093,31.385768,-1.000000,1.000000,1.000000,0.000000
0.725632,0.343852,0.016244,1.210029,0.351185,0.007456,1.216060,-19.521000,4.570000,32.495000,-20.613379,6.712346,32.135413,-1.000000,1.000000,1.000000,0.000000
0.769291,0.340900,0.017269,1.217393,0.346864,0.006446,1.223266,-19.304000,4.642000,32.992000,-20.195146,6.769777,32.769520,-1.000000,1.000000,1.000000,0.000000
0.812778,0.337920,0.018307,1.224663,0.343691,0.007023,1.229894,-19.085000,4.715000,33.483000,-20.065419,6.870789,33.172889,-1.000000,1.000000,1.000000,0.000000
0.857999,0.334898,0.019332,1.231871,0.344411,0.008321,1.241137,-18.863000,4.787000,33.970000,-19.892788,6.899504,33.735038,-1.000000,1.000000,1.000000,0.000000
