t,Icx,Icy,Icz,Imx,Imy,Imz,Bcx,Bcy,Bcz,Bmx,Bmy,Bmz,polx,poly,polz,ERROR
0.063426,0.078233,0.050913,0.719437,0.006736,0.007601,0.716967,0.000000,0.000000,0.000000,5.285352,3.959369,-75.509081,-1.000000,-1.000000,1.000000,0.000000
0.125633,0.125759,0.180995,0.487015,0.196543,0.241076,0.030516,-3.434591,-9.165498,-15.469372,1.567194,0.904033,-42.937530,-1.000000,-1.000000,1.000000,0.000000
0.168375,0.172891,0.309350,0.257964,0.167864,0.380153,0.013510,-6.848745,-18.280054,-30.848099,-1.185784,-3.434043,-34.607315,-1.000000,-1.000000,1.000000,0.000000
0.206515,0.219520,0.435366,0.034823,0.229549,0.501360,0.007601,-10.235593,-27.310961,-46.066278,-4.096866,-9.213302,-34.218473,-1.000000,-1.000000,1.000000,0.000000
0.244310,0.265540,0.558516,0.180586,0.280710,0.618243,0.179827,-13.588345,-36.225880,-61.054826,-7.065717,-15.669911,-38.224800,-1.000000,-1.000000,-1.000000,0.000000
0.282164,0.310850,0.678365,0.387394,0.327263,0.735703,0.339512,-16.900307,-44.992951,-75.745797,-10.279832,-23.092039,-45.892192,-1.000000,-1.000000,-1.000000,0.000000
0.330803,0.355351,0.794571,0.585780,0.363147,0.858349,0.562899,-20.164897,-53.580911,-90.072689,-14.026706,-32.618510,-56.989573,-1.000000,-1.000000,-1.000000,0.000000
0.380134,0.398953,0.906887,0.776926,0.408980,0.967018,0.762942,-23.375653,-61.959201,-103.970745,-17.644190,-41.525400,-69.484895,-1.000000,-1.000000,-1.000000,0.000000
0.430054,0.441567,1.015143,0.962840,0.450341,1.072658,0.956640,-26.526250,-70.098079,-117.377247,-21.319444,-50.302226,-81.807248,-1.000000,-1.000000,-1.000000,0.000000
0.480075,0.483112,1.119238,1.146040,0.492137,1.172534,1.147457,-29.610510,-77.968723,-130.231796,-24.706191,-58.762168,-94.576550,-1.000000,-1.000000,-1.000000,0.000000
0.530180,0.523511,1.219112,1.329171,0.532059,1.269096,1.341446,-32.622415,-85.543335,-142.476588,-28.093275,-66.746444,-107.129303,-1.000000,-1.000000,-1.000000,0.000000
0.580189,0.562694,1.314729,1.514568,0.571693,1.363786,1.535576,-35.556119,-92.795236,-154.056670,-31.321580,-74.601332,-119.595909,-1.000000,-1.000000,-1.000000,0.000000
0.630150,0.600593,1.406049,1.703831,0.609165,1.452132,1.735761,-38.405959,-99.698962,-164.920190,-34.434346,-81.965690,-132.206769,-1.000000,-1.000000,-1.000000,0.000000
0.680172,0.637149,1.493006,1.897468,0.647066,1.533992,1.936381,-41.166464,-106.230356,-175.018625,-37.576504,-89.085460,-144.860533,-1.000000,-1.000000,-1.000000,0.000000
0.730242,0.672304,1.575492,2.094636,0.680214,1.613693,2.139880,-43.832370,-112.366647,-184.307003,-40.631840,-96.075164,-157.658551,-1.000000,-1.000000,-1.000000,0.000000
0.780144,0.706007,1.653339,2.293028,0.715669,1.690363,2.340929,-46.398626,-118.086532,-192.744098,-43.326710,-102.618596,-167.847845,-1.000000,-1.000000,-1.000000,0.000000
0.836054,0.738211,1.726313,2.488915,0.739882,1.738501,2.569073,-48.860404,-123.370250,-200.292618,-46.454341,-109.521816,-178.296592,-1.000000,-1.000000,-1.000000,0.000000
0.887612,0.768871,1.794111,2.677348,0.768563,1.806381,2.758160,-51.213111,-128.199652,-206.919364,-49.120497,-115.459518,-186.035942,-1.000000,-1.000000,-1.000000,0.000000
0.932463,0.797949,1.856369,2.852505,0.802144,1.883487,2.917703,-53.452393,-132.558258,-212.595379,-51.426525,-120.100290,-193.011458,-1.000000,-1.000000,-1.000000,0.000000
0.980281,0.825407,1.912672,3.008142,0.833271,1.937679,3.059663,-55.574148,-136.431319,-217.296076,-53.732215,-125.158958,-199.655562,-1.000000,-1.000000,-1.000000,0.000000
1.030265,0.851212,1.962575,3.138113,0.856764,1.982353,3.178420,-57.574528,-139.805863,-221.001341,-56.067297,-130.015941,-206.169940,-1.000000,-1.000000,-1.000000,0.000000
1.080174,0.875334,2.005622,3.236905,0.882561,2.023862,3.268783,-59.449950,-142.670738,-223.695618,-58.128060,-134.094564,-211.502250,-1.000000,-1.000000,-1.000000,0.000000
1.136255,0.897747,2.041376,3.300117,0.899858,2.045193,3.324127,-61.197102,-145.016650,-225.367980,-60.477331,-138.504598,-217.281510,-1.000000,-1.000000,-1.000000,0.000000
1.180462,0.918424,2.069441,3.324863,0.924502,2.082375,3.340846,-62.812945,-146.836195,-226.012165,-62.076957,-141.271764,-219.674023,-1.000000,-1.000000,-1.000000,0.000000
1.230351,0.937344,2.089486,3.310025,0.943239,2.097942,3.305249,-64.294724,-148.123877,-225.626603,-63.907320,-143.822719,-222.426662,-1.000000,-1.000000,-1.000000,0.000000
1.280682,0.954486,2.101270,3.256357,0.960677,2.109036,3.241689,-65.639967,-148.876127,-224.214415,-65.449514,-146.171990,-223.824603,-1.000000,-1.000000,-1.000000,0.000000
1.331297,0.969835,2.104651,3.166409,0.974079,2.110911,3.145560,-66.846493,-149.091310,-221.783394,-66.905224,-147.786142,-223.666161,-1.000000,-1.000000,-1.000000,0.000000
1.380157,0.983374,2.099600,3.044296,0.988204,2.102263,3.017725,-67.912413,-148.769732,-218.345962,-68.202154,-148.506734,-222.988811,-1.000000,-1.000000,-1.000000,0.000000
1.430122,0.995092,2.086203,2.895326,0.999879,2.084969,2.866110,-68.836132,-147.913628,-213.919109,-69.297399,-148.867198,-220.394614,-1.000000,-1.000000,-1.000000,0.000000
1.480110,1.004979,2.064653,2.725527,1.010832,2.062199,2.692874,-69.616354,-146.527156,-208.524307,-70.363929,-148.492207,-216.964625,-1.000000,-1.000000,-1.000000,0.000000
