t,Icx,Icy,Icz,Imx,Imy,Imz,Bcx,Bcy,Bcz,Bmx,Bmy,Bmz,polx,poly,polz,ERROR
0.680172,0.562694,1.314729,1.514568,0.647066,1.533992,1.936381,-35.556119,-92.795236,-154.056670,-37.209200,-89.794983,-144.822001,-1.000000,-1.000000,-1.000000,0.000000
0.730242,0.600593,1.406049,1.703831,0.680214,1.613693,2.139880,-38.405959,-99.698962,-164.920190,-40.258116,-96.761581,-157.595214,-1.000000,-1.000000,-1.000000,0.000000
0.780144,0.637149,1.493006,1.897468,0.715669,1.690363,2.340929,-41.166464,-106.230356,-175.018625,-42.946768,-103.283154,-167.761451,-1.000000,-1.000000,-1.000000,0.000000
0.836054,0.672304,1.575492,2.094636,0.739882,1.738501,2.569073,-43.832370,-112.366647,-184.307003,-46.068395,-110.165836,-178.188990,-1.000000,-1.000000,-1.000000,0.000000
0.887612,0.706007,1.653339,2.293028,0.768563,1.806381,2.758160,-46.398626,-118.086532,-192.744098,-48.728770,-116.084395,-185.909075,-1.000000,-1.000000,-1.000000,0.000000
0.932463,0.738211,1.726313,2.488915,0.802144,1.883487,2.917703,-48.860404,-123.370250,-200.292618,-51.029253,-120.707483,-192.867356,-1.000000,-1.000000,-1.000000,0.000000
0.980281,0.768871,1.794111,2.677348,0.833271,1.937679,3.059663,-51.213111,-128.199652,-206.919364,-53.329643,-125.749988,-199.496329,-1.000000,-1.000000,-1.000000,0.000000
1.030265,0.797949,1.856369,2.852505,0.856764,1.982353,3.178420,-53.452393,-132.558258,-212.595379,-55.659681,-130.592383,-205.997747,-1.000000,-1.000000,-1.000000,0.000000
1.080174,0.825407,1.912672,3.008142,0.882561,2.023862,3.268783,-55.574148,-136.431319,-217.296076,-57.715665,-134.658044,-211.319324,-1.000000,-1.000000,-1.000000,0.000000
1.136255,0.851212,1.962575,3.138113,0.899858,2.045193,3.324127,-57.574528,-139.805863,-221.001341,-60.060430,-139.056784,-217.090124,-1.000000,-1.000000,-1.000000,0.000000
1.180462,0.875334,2.005622,3.236905,0.924502,2.082375,3.340846,-59.449950,-142.670738,-223.695618,-61.655832,-141.814361,-219.476485,-1.000000,-1.000000,-1.000000,0.000000
1.230351,0.897747,2.041376,3.300117,0.943239,2.097942,3.305249,-61.197102,-145.016650,-225.367980,-63.482260,-144.357465,-222.225306,-1.000000,-1.000000,-1.000000,0.000000
1.280682,0.918424,2.069441,3.324863,0.960677,2.109036,3.241689,-62.812945,-146.836195,-226.012165,-65.020814,-146.700646,-223.621776,-1.000000,-1.000000,-1.000000,0.000000
1.331297,0.937344,2.089486,3.310025,0.974079,2.110911,3.145560,-64.294724,-148.123877,-225.626603,-66.473186,-148.310489,-223.464214,-1.000000,-1.000000,-1.000000,0.000000
1.380157,0.954486,2.101270,3.256357,0.988204,2.102263,3.017725,-65.639967,-148.876127,-224.214415,-67.767086,-149.028563,-222.790088,-1.000000,-1.000000,-1.000000,0.000000
1.430122,0.969835,2.104651,3.166409,0.999879,2.084969,2.866110,-66.846493,-149.091310,-221.783394,-68.859613,-149.388307,-220.201442,-1.000000,-1.000000,-1.000000,0.000000
1.480110,0.983374,2.099600,3.044296,1.010832,2.062199,2.692874,-67.912413,-148.769732,-218.345962,-69.923742,-149.014392,-216.779302,-1.000000,-1.000000,-1.000000,0.000000
1.530537,0.995092,2.086203,2.895326,1.018612,2.029484,2.506524,-68.836132,-147.913628,-213.919109,-70.642253,-148.123696,-212.667545,-1.000000,-1.000000,-1.000000,0.000000
1.580158,1.004979,2.064653,2.725527,1.025389,1.988840,2.317295,-69.616354,-146.527156,-208.524307,-71.245887,-146.456754,-207.736394,-1.000000,-1.000000,-1.000000,0.000000
1.635506,1.013028,2.035242,2.541132,1.029710,1.960161,2.085979,-70.252082,-144.616373,-202.187407,-71.849847,-143.940909,-201.625666,-1.000000,-1.000000,-1.000000,0.000000
1.689078,1.019235,1.998340,2.348061,1.030574,1.904818,1.901504,-70.742618,-142.189215,-194.938519,-72.410891,-141.138624,-195.445062,-1.000000,-1.000000,-1.000000,0.000000
1.733839,1.023597,1.954378,2.151463,1.032449,1.830884,1.743257,-71.087564,-139.255459,-186.811864,-72.453356,-138.453572,-190.130969,-1.000000,-1.000000,-1.000000,0.000000
1.780090,1.026116,1.903817,1.955357,1.033169,1.765020,1.561376,-71.286821,-135.826689,-177.845614,-72.640066,-135.207689,-182.224935,-1.000000,-1.000000,-1.000000,0.000000
1.829416,1.026795,1.847129,1.762405,1.028125,1.696130,1.385259,-71.340591,-131.916247,-168.081716,-72.539271,-131.026954,-172.230565,-1.000000,-1.000000,-1.000000,0.000000
1.880017,1.025642,1.784770,1.573846,1.025389,1.622196,1.209141,-71.249370,-127.539184,-157.565694,-72.179012,-126.588327,-161.070712,-1.000000,-1.000000,-1.000000,0.000000
1.929658,1.022666,1.717161,1.389568,1.016021,1.541630,1.042250,-71.013951,-122.712199,-146.346432,-72.049815,-121.805269,-149.667535,-1.000000,-1.000000,-1.000000,0.000000
1.979731,1.017879,1.644671,1.208328,1.010541,1.459338,0.865267,-70.635416,-117.453579,-134.475958,-71.618246,-116.518935,-137.746940,-1.000000,-1.000000,-1.000000,0.000000
2.029410,1.011295,1.567607,1.028081,0.999156,1.372144,0.687998,-70.115138,-111.783128,-122.009190,-70.927879,-111.032634,-126.144928,-1.000000,-1.000000,-1.000000,0.000000
2.079454,1.002932,1.486212,0.846363,0.987917,1.279616,0.500353,-69.454773,-105.722094,-109.003692,-70.294921,-105.287849,-80.415548,-1.000000,-1.000000,-1.000000,0.000000
2.129425,0.992811,1.400666,0.660707,0.972062,1.184497,0.017689,-68.656258,-99.293088,-95.519403,-69.302486,-99.054780,-79.817246,-1.000000,-1.000000,-1.000000,0.000000
2.179369,0.980954,1.311097,0.469023,0.958802,1.083756,0.008034,-67.721804,-92.519998,-81.618363,-68.382315,-92.591785,-79.200454,-1.000000,-1.000000,-1.000000,0.000000
2.229401,0.967386,1.217591,0.269907,0.938337,0.980133,0.174205,-66.653890,-85.427906,-67.364425,-67.318191,-85.812975,-78.539046,-1.000000,-1.000000,-1.000000,0.000000
2.279303,0.952134,1.120218,0.062846,0.923060,0.873483,0.350320,-65.455260,-78.042991,-52.822966,-66.038150,-78.689207,-77.877585,-1.000000,-1.000000,-1.000000,0.000000
2.329284,0.935228,1.019045,0.151696,0.902307,0.763520,0.572845,-64.128913,-70.392431,-38.060583,-64.801639,-71.624096,-47.608366,-1.000000,-1.000000,1.000000,0.000000
2.379419,0.916700,0.914161,0.372338,0.879970,0.651823,0.802718,-62.678096,-62.504307,-23.144789,-63.132986,-63.752704,-32.913368,-1.000000,-1.000000,1.000000,0.000000
2.431272,0.896583,0.805696,0.596940,0.858349,0.536815,1.097448,-61.106299,-54.407500,-8.143707,-61.652101,-55.636746,-17.223994,-1.000000,-1.000000,1.000000,0.000000
2.486304,0.874914,0.693839,0.822880,0.837596,0.429010,1.329051,-59.417243,-46.131579,6.874245,-59.566089,-46.786607,-1.029939,-1.000000,-1.000000,1.000000,0.000000
2.536184,0.851732,0.578848,1.047366,0.814248,0.305354,1.549988,-57.614874,-37.706701,21.840662,-57.898565,-16.844505,13.636227,-1.000000,-1.000000,1.000000,0.000000
2.586272,0.827076,0.461062,1.267789,0.785570,0.184006,1.766460,-55.703354,-29.163497,36.687470,-55.870484,-16.445050,28.244898,-1.000000,-1.000000,1.000000,0.000000
2.637019,0.800990,0.340900,1.482028,0.756456,0.074762,1.975870,-53.687051,-20.532961,51.347226,-53.713252,-16.043016,42.940817,-1.000000,-1.000000,1.000000,0.000000
2.688031,0.773519,0.218861,1.688704,0.726622,0.006736,2.160778,-51.570527,-11.846338,65.753435,-51.513001,-15.578468,57.219083,-1.000000,-1.000000,1.000000,0.000000
2.738112,0.744712,0.095508,1.887326,0.697079,0.349458,2.344244,-49.358531,-3.135010,79.840843,-49.168714,-15.163732,70.648095,-1.000000,-1.000000,1.000000,0.000000
2.788164,0.714619,0.028536,2.078321,0.663785,0.321354,2.523962,-47.055989,5.569616,93.545737,-46.968883,5.192180,83.717178,-1.000000,1.000000,1.000000,0.000000
2.838150,0.683293,0.152613,2.262938,0.632367,0.443135,2.699502,-44.667987,14.236221,106.806233,-44.509791,14.271750,96.557215,-1.000000,1.000000,1.000000,0.000000
2.888174,0.650792,0.276044,2.443034,0.596625,0.563909,2.877350,-42.199769,22.833689,119.562554,-41.935681,23.005613,109.225094,-1.000000,1.000000,1.000000,0.000000
2.938215,0.617175,0.398153,2.620777,0.562467,0.679353,3.059231,-39.656717,31.331217,131.757298,-39.217485,31.696568,121.692572,-1.000000,1.000000,1.000000,0.000000
2.988102,0.582506,0.518279,2.798279,0.525285,0.792485,3.241112,-37.044345,39.698424,143.335702,-36.614645,40.416674,133.844572,-1.000000,1.000000,1.000000,0.000000
3.038237,0.546849,0.635801,2.977226,0.487094,0.899425,3.425158,-34.368285,47.905463,154.245882,-33.896748,48.993401,146.285930,-1.000000,1.000000,1.000000,0.000000
3.088196,0.510276,0.750145,3.158530,0.450632,1.002038,3.611505,-31.634273,55.923125,164.439067,-30.977299,57.311308,158.527578,-1.000000,1.000000,1.000000,0.000000
3.140014,0.472859,0.860797,3.342053,0.413447,1.088945,3.788055,-28.848142,63.722944,173.869819,-27.813038,65.759334,171.563516,-1.000000,1.000000,1.000000,0.000000
3.192091,0.434674,0.967305,3.526446,0.371218,1.188388,3.982909,-26.015804,71.277297,182.496232,-24.893810,73.689611,183.332739,-1.000000,1.000000,1.000000,0.000000
3.240062,0.395802,1.069285,3.709103,0.332739,1.287400,4.132216,-23.143241,78.559503,190.280124,-22.147303,80.712713,192.236046,-1.000000,1.000000,1.000000,0.000000
3.286866,0.356325,1.166413,3.886271,0.292527,1.375171,4.277926,-20.236491,85.543917,197.187196,-19.242768,87.434453,199.786655,-1.000000,1.000000,1.000000,0.000000
3.337956,0.316329,1.258421,4.053274,0.252319,1.440457,4.406048,-17.301634,92.206020,203.187195,-16.049790,94.488345,206.849482,-1.000000,1.000000,1.000000,0.000000
3.390543,0.275903,1.345091,4.204864,0.209083,1.511942,4.504772,-14.344785,98.522502,208.254036,-12.799430,101.154552,213.265807,-1.000000,1.000000,1.000000,0.000000
3.440222,0.235136,1.426239,4.335638,0.169881,1.582275,4.561267,-11.372072,104.471351,212.365920,-9.721737,106.985859,218.156644,-1.000000,1.000000,1.000000,0.000000
3.487655,0.194122,1.501710,4.440497,0.343114,1.649290,4.581878,-8.389632,110.031923,215.505429,0.411914,112.285371,222.026076,-1.000000,1.000000,1.000000,0.000000
3.535145,0.152955,1.571365,4.515086,0.012213,1.714721,4.570057,-5.403593,115.185014,217.659595,0.552921,117.096392,224.456913,-1.000000,1.000000,1.000000,0.000000
3.580144,0.111731,1.635078,4.556186,0.008175,1.770206,4.523795,-2.420064,119.912931,218.819955,0.692481,121.288917,226.299153,-1.000000,1.000000,1.000000,0.000000
3.630155,0.070545,1.692723,4.561999,0.007311,1.809121,4.444385,0.554878,124.199548,218.982586,0.855117,125.626836,227.264300,-1.000000,1.000000,1.000000,0.000000
3.680302,0.029494,1.744178,4.532310,0.007311,1.846160,4.335860,3.515202,128.030360,218.148110,1.019239,129.375753,226.891552,-1.000000,1.000000,1.000000,0.000000
